rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
1,9780812974492,1,184,2014-12-20,combined-print-and-e-book-nonfiction,0
2,9780805096682,2,13,2014-12-20,combined-print-and-e-book-nonfiction,0
3,9780307476074,3,92,2014-12-20,combined-print-and-e-book-nonfiction,0
4,9780553447781,4,6,2014-12-20,combined-print-and-e-book-nonfiction,0
5,9780544272996,7,13,2014-12-20,combined-print-and-e-book-nonfiction,-2
6,9780062268341,5,8,2014-12-20,combined-print-and-e-book-nonfiction,1
7,9780062376336,9,44,2014-12-20,combined-print-and-e-book-nonfiction,-2
8,9780143125471,6,31,2014-12-20,combined-print-and-e-book-nonfiction,2
9,9781250038821,8,9,2014-12-20,combined-print-and-e-book-nonfiction,1
10,9780805095159,10,11,2014-12-20,combined-print-and-e-book-nonfiction,0
11,9781627792288,12,6,2014-12-20,combined-print-and-e-book-nonfiction,-1
12,9781476764023,0,3,2014-12-20,combined-print-and-e-book-nonfiction,12
13,9780062314963,11,5,2014-12-20,combined-print-and-e-book-nonfiction,2
14,9780812994995,14,12,2014-12-20,combined-print-and-e-book-nonfiction,0
15,9781476708690,15,8,2014-12-20,combined-print-and-e-book-nonfiction,0
16,9781476783666,0,0,2014-12-20,combined-print-and-e-book-nonfiction,16
17,9780385348249,0,0,2014-12-20,combined-print-and-e-book-nonfiction,17
18,9780307886279,0,0,2014-12-20,combined-print-and-e-book-nonfiction,18
19,9780385535373,0,0,2014-12-20,combined-print-and-e-book-nonfiction,19
20,9781594486296,0,0,2014-12-20,combined-print-and-e-book-nonfiction,20
1,9780812974492,1,185,2014-12-27,combined-print-and-e-book-nonfiction,0
2,9780062376336,7,45,2014-12-27,combined-print-and-e-book-nonfiction,-5
3,9780307476074,3,93,2014-12-27,combined-print-and-e-book-nonfiction,0
4,9780805096682,2,14,2014-12-27,combined-print-and-e-book-nonfiction,2
5,9780062268341,6,9,2014-12-27,combined-print-and-e-book-nonfiction,-1
6,9780553447781,4,7,2014-12-27,combined-print-and-e-book-nonfiction,2
7,9780143125471,8,32,2014-12-27,combined-print-and-e-book-nonfiction,-1
8,9780544272996,5,14,2014-12-27,combined-print-and-e-book-nonfiction,3
9,9780812994995,14,13,2014-12-27,combined-print-and-e-book-nonfiction,-5
10,9780805095159,10,12,2014-12-27,combined-print-and-e-book-nonfiction,0
11,9781627792288,11,7,2014-12-27,combined-print-and-e-book-nonfiction,0
12,9781250038821,9,10,2014-12-27,combined-print-and-e-book-nonfiction,3
13,9781476708690,15,9,2014-12-27,combined-print-and-e-book-nonfiction,-2
14,9780374280604,0,2,2014-12-27,combined-print-and-e-book-nonfiction,14
15,9781476764023,12,4,2014-12-27,combined-print-and-e-book-nonfiction,3
16,9780307886279,0,0,2014-12-27,combined-print-and-e-book-nonfiction,16
17,9781476783895,0,0,2014-12-27,combined-print-and-e-book-nonfiction,17
18,9780062314963,0,0,2014-12-27,combined-print-and-e-book-nonfiction,18
19,9780385348249,0,0,2014-12-27,combined-print-and-e-book-nonfiction,19
20,9780553380163,0,0,2014-12-27,combined-print-and-e-book-nonfiction,20
1,9780679603757,1,186,2015-01-03,combined-print-and-e-book-nonfiction,0
2,9780062082374,2,46,2015-01-03,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,94,2015-01-03,combined-print-and-e-book-nonfiction,0
4,9781101622742,7,33,2015-01-03,combined-print-and-e-book-nonfiction,-3
5,9780062268341,5,10,2015-01-03,combined-print-and-e-book-nonfiction,0
6,9780805096682,4,15,2015-01-03,combined-print-and-e-book-nonfiction,2
7,9780812994995,9,14,2015-01-03,combined-print-and-e-book-nonfiction,-2
8,9780805095159,10,13,2015-01-03,combined-print-and-e-book-nonfiction,-2
9,9780553447781,6,8,2015-01-03,combined-print-and-e-book-nonfiction,3
10,9780544272996,8,15,2015-01-03,combined-print-and-e-book-nonfiction,2
11,9780374280604,14,3,2015-01-03,combined-print-and-e-book-nonfiction,-3
12,9781627792295,11,8,2015-01-03,combined-print-and-e-book-nonfiction,1
13,9780307886279,0,11,2015-01-03,combined-print-and-e-book-nonfiction,13
14,9780553380163,0,1,2015-01-03,combined-print-and-e-book-nonfiction,14
15,9781400865123,0,1,2015-01-03,combined-print-and-e-book-nonfiction,15
16,A00B00ALCKQGA,0,0,2015-01-03,combined-print-and-e-book-nonfiction,16
17,9780307452207,0,0,2015-01-03,combined-print-and-e-book-nonfiction,17
18,9780957111615,0,0,2015-01-03,combined-print-and-e-book-nonfiction,18
19,9780316007542,0,0,2015-01-03,combined-print-and-e-book-nonfiction,19
20,9781476731926,0,0,2015-01-03,combined-print-and-e-book-nonfiction,20
1,9780679603757,1,187,2015-01-10,combined-print-and-e-book-nonfiction,0
2,9780062082374,2,47,2015-01-10,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,95,2015-01-10,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,34,2015-01-10,combined-print-and-e-book-nonfiction,0
5,9780307589385,0,79,2015-01-10,combined-print-and-e-book-nonfiction,5
6,9780062268341,5,11,2015-01-10,combined-print-and-e-book-nonfiction,1
7,9780805096682,6,16,2015-01-10,combined-print-and-e-book-nonfiction,1
8,9780805095159,8,14,2015-01-10,combined-print-and-e-book-nonfiction,0
9,9780770433260,0,1,2015-01-10,combined-print-and-e-book-nonfiction,9
10,9780812996951,0,1,2015-01-10,combined-print-and-e-book-nonfiction,10
11,9780062265432,0,9,2015-01-10,combined-print-and-e-book-nonfiction,11
12,9780802199782,0,1,2015-01-10,combined-print-and-e-book-nonfiction,12
13,9780812994995,7,15,2015-01-10,combined-print-and-e-book-nonfiction,6
14,9780465065684,0,1,2015-01-10,combined-print-and-e-book-nonfiction,14
15,9780544272996,10,16,2015-01-10,combined-print-and-e-book-nonfiction,5
16,9781451654707,0,0,2015-01-10,combined-print-and-e-book-nonfiction,16
17,9781493009220,0,0,2015-01-10,combined-print-and-e-book-nonfiction,17
18,9780553447781,0,0,2015-01-10,combined-print-and-e-book-nonfiction,18
19,9780374280604,0,0,2015-01-10,combined-print-and-e-book-nonfiction,19
20,9780553380163,0,0,2015-01-10,combined-print-and-e-book-nonfiction,20
1,9780062082374,2,48,2015-01-17,combined-print-and-e-book-nonfiction,-1
2,9780679603757,1,188,2015-01-17,combined-print-and-e-book-nonfiction,1
3,9780307957658,3,96,2015-01-17,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,35,2015-01-17,combined-print-and-e-book-nonfiction,0
5,9781400205844,0,1,2015-01-17,combined-print-and-e-book-nonfiction,5
6,9780062268341,6,12,2015-01-17,combined-print-and-e-book-nonfiction,0
7,9780805096682,7,17,2015-01-17,combined-print-and-e-book-nonfiction,0
8,9780805095159,8,15,2015-01-17,combined-print-and-e-book-nonfiction,0
9,9780812996951,10,2,2015-01-17,combined-print-and-e-book-nonfiction,-1
10,9781451654707,0,1,2015-01-17,combined-print-and-e-book-nonfiction,10
11,9780770433260,9,2,2015-01-17,combined-print-and-e-book-nonfiction,2
12,9780812994995,13,16,2015-01-17,combined-print-and-e-book-nonfiction,-1
13,9780691164724,0,2,2015-01-17,combined-print-and-e-book-nonfiction,13
14,9780307589385,5,80,2015-01-17,combined-print-and-e-book-nonfiction,9
15,9780307587848,0,1,2015-01-17,combined-print-and-e-book-nonfiction,15
16,9780316007542,0,0,2015-01-17,combined-print-and-e-book-nonfiction,16
17,9780544272996,0,0,2015-01-17,combined-print-and-e-book-nonfiction,17
18,9780553447781,0,0,2015-01-17,combined-print-and-e-book-nonfiction,18
19,9780307352156,0,0,2015-01-17,combined-print-and-e-book-nonfiction,19
20,9780316017930,0,0,2015-01-17,combined-print-and-e-book-nonfiction,20
1,9780062082374,1,49,2015-01-24,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,189,2015-01-24,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,97,2015-01-24,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,36,2015-01-24,combined-print-and-e-book-nonfiction,0
5,9780767928427,0,1,2015-01-24,combined-print-and-e-book-nonfiction,5
6,9780805095159,8,16,2015-01-24,combined-print-and-e-book-nonfiction,-2
7,9780062268341,6,13,2015-01-24,combined-print-and-e-book-nonfiction,1
8,9780805096682,7,18,2015-01-24,combined-print-and-e-book-nonfiction,1
9,9781250060990,0,1,2015-01-24,combined-print-and-e-book-nonfiction,9
10,9780316007542,0,27,2015-01-24,combined-print-and-e-book-nonfiction,10
11,9781451654707,10,2,2015-01-24,combined-print-and-e-book-nonfiction,1
12,9780307589385,14,81,2015-01-24,combined-print-and-e-book-nonfiction,-2
13,9780374280604,0,4,2015-01-24,combined-print-and-e-book-nonfiction,13
14,9780698145610,0,1,2015-01-24,combined-print-and-e-book-nonfiction,14
15,9781400865123,13,3,2015-01-24,combined-print-and-e-book-nonfiction,2
16,9780812994995,0,0,2015-01-24,combined-print-and-e-book-nonfiction,16
17,9780812981605,0,0,2015-01-24,combined-print-and-e-book-nonfiction,17
18,9780316278232,0,0,2015-01-24,combined-print-and-e-book-nonfiction,18
19,9780770433260,0,0,2015-01-24,combined-print-and-e-book-nonfiction,19
20,9781400205844,0,0,2015-01-24,combined-print-and-e-book-nonfiction,20
1,9780062082374,1,50,2015-01-31,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,190,2015-01-31,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,98,2015-01-31,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,37,2015-01-31,combined-print-and-e-book-nonfiction,0
5,9780805095159,6,17,2015-01-31,combined-print-and-e-book-nonfiction,-1
6,9781453203927,0,1,2015-01-31,combined-print-and-e-book-nonfiction,6
7,9781400205844,0,2,2015-01-31,combined-print-and-e-book-nonfiction,7
8,9781466844070,0,1,2015-01-31,combined-print-and-e-book-nonfiction,8
9,9780062268341,7,14,2015-01-31,combined-print-and-e-book-nonfiction,2
10,9780805096699,8,19,2015-01-31,combined-print-and-e-book-nonfiction,2
11,9781451654707,11,3,2015-01-31,combined-print-and-e-book-nonfiction,0
12,9780984504176,0,1,2015-01-31,combined-print-and-e-book-nonfiction,12
13,9780385530002,0,1,2015-01-31,combined-print-and-e-book-nonfiction,13
14,9780307538260,0,1,2015-01-31,combined-print-and-e-book-nonfiction,14
15,9780316007542,10,28,2015-01-31,combined-print-and-e-book-nonfiction,5
16,9781628720242,0,0,2015-01-31,combined-print-and-e-book-nonfiction,16
17,9781250060990,0,0,2015-01-31,combined-print-and-e-book-nonfiction,17
18,9780061981364,0,0,2015-01-31,combined-print-and-e-book-nonfiction,18
19,9780307589385,0,0,2015-01-31,combined-print-and-e-book-nonfiction,19
20,9780062297129,0,0,2015-01-31,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,51,2015-02-07,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,191,2015-02-07,combined-print-and-e-book-nonfiction,0
3,9780307957658,3,99,2015-02-07,combined-print-and-e-book-nonfiction,0
4,9781101622742,4,38,2015-02-07,combined-print-and-e-book-nonfiction,0
5,9781400205837,7,3,2015-02-07,combined-print-and-e-book-nonfiction,-2
6,9780805096682,10,20,2015-02-07,combined-print-and-e-book-nonfiction,-4
7,9780805095159,5,18,2015-02-07,combined-print-and-e-book-nonfiction,2
8,9780062268341,9,15,2015-02-07,combined-print-and-e-book-nonfiction,-1
9,9780316007542,15,29,2015-02-07,combined-print-and-e-book-nonfiction,-6
10,9781594205866,0,2,2015-02-07,combined-print-and-e-book-nonfiction,10
11,9780385529983,13,2,2015-02-07,combined-print-and-e-book-nonfiction,-2
12,9781250045447,8,2,2015-02-07,combined-print-and-e-book-nonfiction,4
13,9781400865123,0,4,2015-02-07,combined-print-and-e-book-nonfiction,13
14,9780307589385,0,82,2015-02-07,combined-print-and-e-book-nonfiction,14
15,9780544272996,0,17,2015-02-07,combined-print-and-e-book-nonfiction,15
16,9780307790514,0,0,2015-02-07,combined-print-and-e-book-nonfiction,16
17,9780307795298,0,0,2015-02-07,combined-print-and-e-book-nonfiction,17
18,9780812981605,0,0,2015-02-07,combined-print-and-e-book-nonfiction,18
19,9780345493811,0,0,2015-02-07,combined-print-and-e-book-nonfiction,19
20,9780812994995,0,0,2015-02-07,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,52,2015-02-14,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,192,2015-02-14,combined-print-and-e-book-nonfiction,0
3,9781101622742,4,39,2015-02-14,combined-print-and-e-book-nonfiction,-1
4,9780307957658,3,100,2015-02-14,combined-print-and-e-book-nonfiction,1
5,9780805095159,7,19,2015-02-14,combined-print-and-e-book-nonfiction,-2
6,9780805096682,6,21,2015-02-14,combined-print-and-e-book-nonfiction,0
7,9780770435639,0,2,2015-02-14,combined-print-and-e-book-nonfiction,7
8,9781594205873,0,1,2015-02-14,combined-print-and-e-book-nonfiction,8
9,9781400205837,5,4,2015-02-14,combined-print-and-e-book-nonfiction,4
10,9780062268341,8,16,2015-02-14,combined-print-and-e-book-nonfiction,2
11,9780062316097,0,1,2015-02-14,combined-print-and-e-book-nonfiction,11
12,9780316007542,9,30,2015-02-14,combined-print-and-e-book-nonfiction,3
13,9780062323217,0,2,2015-02-14,combined-print-and-e-book-nonfiction,13
14,9780062242730,0,5,2015-02-14,combined-print-and-e-book-nonfiction,14
15,9781594205866,10,3,2015-02-14,combined-print-and-e-book-nonfiction,5
16,9780544272996,0,0,2015-02-14,combined-print-and-e-book-nonfiction,16
17,9780385530002,0,0,2015-02-14,combined-print-and-e-book-nonfiction,17
18,9780345518576,0,0,2015-02-14,combined-print-and-e-book-nonfiction,18
19,9780691164724,0,0,2015-02-14,combined-print-and-e-book-nonfiction,19
20,9781250045447,0,0,2015-02-14,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,53,2015-02-21,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,193,2015-02-21,combined-print-and-e-book-nonfiction,0
3,9780307957658,4,101,2015-02-21,combined-print-and-e-book-nonfiction,-1
4,9781101622742,3,40,2015-02-21,combined-print-and-e-book-nonfiction,1
5,9780805095159,5,20,2015-02-21,combined-print-and-e-book-nonfiction,0
6,9780805096682,6,22,2015-02-21,combined-print-and-e-book-nonfiction,0
7,9780307351920,0,1,2015-02-21,combined-print-and-e-book-nonfiction,7
8,9781594205873,8,2,2015-02-21,combined-print-and-e-book-nonfiction,0
9,9780062268341,10,17,2015-02-21,combined-print-and-e-book-nonfiction,-1
10,9780307952950,0,1,2015-02-21,combined-print-and-e-book-nonfiction,10
11,9781400205837,9,5,2015-02-21,combined-print-and-e-book-nonfiction,2
12,9781480449794,0,6,2015-02-21,combined-print-and-e-book-nonfiction,12
13,9780316007542,12,31,2015-02-21,combined-print-and-e-book-nonfiction,1
14,9780698145610,15,4,2015-02-21,combined-print-and-e-book-nonfiction,-1
15,9780062039880,0,1,2015-02-21,combined-print-and-e-book-nonfiction,15
16,9781400052189,0,0,2015-02-21,combined-print-and-e-book-nonfiction,16
17,9781476755717,0,0,2015-02-21,combined-print-and-e-book-nonfiction,17
18,9781400865123,0,0,2015-02-21,combined-print-and-e-book-nonfiction,18
19,9780385530002,0,0,2015-02-21,combined-print-and-e-book-nonfiction,19
20,9780770435639,0,0,2015-02-21,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,54,2015-02-28,combined-print-and-e-book-nonfiction,0
2,9780307957658,3,102,2015-02-28,combined-print-and-e-book-nonfiction,-1
3,9780679603757,2,194,2015-02-28,combined-print-and-e-book-nonfiction,1
4,9781101622742,4,41,2015-02-28,combined-print-and-e-book-nonfiction,0
5,9780805095159,5,21,2015-02-28,combined-print-and-e-book-nonfiction,0
6,9780062295897,0,1,2015-02-28,combined-print-and-e-book-nonfiction,6
7,9780805096682,6,23,2015-02-28,combined-print-and-e-book-nonfiction,1
8,9780385539005,0,1,2015-02-28,combined-print-and-e-book-nonfiction,8
9,9781941393574,0,1,2015-02-28,combined-print-and-e-book-nonfiction,9
10,9780062268341,9,18,2015-02-28,combined-print-and-e-book-nonfiction,1
11,9780307351920,7,2,2015-02-28,combined-print-and-e-book-nonfiction,4
12,9780553380163,0,2,2015-02-28,combined-print-and-e-book-nonfiction,12
13,9781400205837,11,6,2015-02-28,combined-print-and-e-book-nonfiction,2
14,9781400865123,0,5,2015-02-28,combined-print-and-e-book-nonfiction,14
15,9781455527441,0,1,2015-02-28,combined-print-and-e-book-nonfiction,15
16,9780316007542,0,0,2015-02-28,combined-print-and-e-book-nonfiction,16
17,9780062379115,0,0,2015-02-28,combined-print-and-e-book-nonfiction,17
18,9780802123411,0,0,2015-02-28,combined-print-and-e-book-nonfiction,18
19,9781493013937,0,0,2015-02-28,combined-print-and-e-book-nonfiction,19
20,9781594205873,0,0,2015-02-28,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,55,2015-03-07,combined-print-and-e-book-nonfiction,0
2,9781101622742,4,42,2015-03-07,combined-print-and-e-book-nonfiction,-2
3,9780307957658,2,103,2015-03-07,combined-print-and-e-book-nonfiction,1
4,9780679603757,3,195,2015-03-07,combined-print-and-e-book-nonfiction,1
5,9780805095159,5,22,2015-03-07,combined-print-and-e-book-nonfiction,0
6,9780802191670,0,1,2015-03-07,combined-print-and-e-book-nonfiction,6
7,9780805096682,7,24,2015-03-07,combined-print-and-e-book-nonfiction,0
8,9780062268341,10,19,2015-03-07,combined-print-and-e-book-nonfiction,-2
9,9781555848095,0,1,2015-03-07,combined-print-and-e-book-nonfiction,9
10,9780553380163,12,3,2015-03-07,combined-print-and-e-book-nonfiction,-2
11,9780062295897,6,2,2015-03-07,combined-print-and-e-book-nonfiction,5
12,9780316007542,0,32,2015-03-07,combined-print-and-e-book-nonfiction,12
13,9780393244816,0,1,2015-03-07,combined-print-and-e-book-nonfiction,13
14,9780307352156,0,39,2015-03-07,combined-print-and-e-book-nonfiction,14
15,A00B007MNAROM,0,1,2015-03-07,combined-print-and-e-book-nonfiction,15
16,9780062199218,0,0,2015-03-07,combined-print-and-e-book-nonfiction,16
17,9780544272996,0,0,2015-03-07,combined-print-and-e-book-nonfiction,17
18,9780812981605,0,0,2015-03-07,combined-print-and-e-book-nonfiction,18
19,9780385539005,0,0,2015-03-07,combined-print-and-e-book-nonfiction,19
20,9780307351920,0,0,2015-03-07,combined-print-and-e-book-nonfiction,20
1,9780553446753,0,1,2015-03-14,combined-print-and-e-book-nonfiction,1
2,9780062376336,1,56,2015-03-14,combined-print-and-e-book-nonfiction,1
3,9781101622742,2,43,2015-03-14,combined-print-and-e-book-nonfiction,1
4,9780307957658,3,104,2015-03-14,combined-print-and-e-book-nonfiction,1
5,9780679603757,4,196,2015-03-14,combined-print-and-e-book-nonfiction,1
6,9780062355928,0,1,2015-03-14,combined-print-and-e-book-nonfiction,6
7,9780805095159,5,23,2015-03-14,combined-print-and-e-book-nonfiction,2
8,9780399174063,0,1,2015-03-14,combined-print-and-e-book-nonfiction,8
9,9780805096682,7,25,2015-03-14,combined-print-and-e-book-nonfiction,2
10,9780698158450,0,1,2015-03-14,combined-print-and-e-book-nonfiction,10
11,9780062268341,8,20,2015-03-14,combined-print-and-e-book-nonfiction,3
12,9780802123411,6,2,2015-03-14,combined-print-and-e-book-nonfiction,6
13,9781476769899,0,1,2015-03-14,combined-print-and-e-book-nonfiction,13
14,9780061959165,0,1,2015-03-14,combined-print-and-e-book-nonfiction,14
15,9781400076314,0,6,2015-03-14,combined-print-and-e-book-nonfiction,15
16,9781455527090,0,0,2015-03-14,combined-print-and-e-book-nonfiction,16
17,9780553380163,0,0,2015-03-14,combined-print-and-e-book-nonfiction,17
18,9780062074959,0,0,2015-03-14,combined-print-and-e-book-nonfiction,18
19,9781612308340,0,0,2015-03-14,combined-print-and-e-book-nonfiction,19
20,9780307589385,0,0,2015-03-14,combined-print-and-e-book-nonfiction,20
1,9780307408860,1,2,2015-03-21,combined-print-and-e-book-nonfiction,0
2,9780062376336,2,57,2015-03-21,combined-print-and-e-book-nonfiction,0
3,9780984504176,0,2,2015-03-21,combined-print-and-e-book-nonfiction,3
